draft_team,draft_pick,draft_player,draft_amount,player,points,value,pos,team,scoring,rank,tier,pos_rank,bye,best,worst,avg,std_dev,adp,vs_adp,player_join
Noah,26,"DeAndre Hopkins Ari, WR",38,DeAndre Hopkins,212,30,WR,Ari,half,20,3,6,8,8,75,19.6,6.7,13,-7,DeAndre Hopkins Ari WR
Jordan,27,"Julio Jones Atl, WR",42,Julio Jones,235,40,WR,Atl,half,11,2,3,10,6,25,13.1,3.2,11,0,Julio Jones Atl WR
Eric,28,"George Kittle SF, TE",29,George Kittle,191,29,TE,SF,half,21,3,2,11,2,45,20.7,4.6,19,-2,George Kittle SF TE
Hawker,29,"Amari Cooper Dal, WR",24,Amari Cooper,193,22,WR,Dal,half,35,4,14,10,16,75,37.1,9.2,32,-3,Amari Cooper Dal WR
Miles,30,"Mike Evans TB, WR",25,Mike Evans,196,23,WR,TB,half,26,4,9,13,13,59,28.9,7.4,26,0,Mike Evans TB WR
Brack,31,"Kenyan Drake Ari, RB",43,Kenyan Drake,219,42,RB,Ari,half,18,3,13,8,4,71,18.4,8.7,16,-2,Kenyan Drake Ari RB
Chappy,32,"JuJu Smith-Schuster Pit, WR",32,JuJu Smith-Schuster,182,17,WR,Pit,half,32,4,12,8,11,80,35,10.3,29,-3,JuJu Smith-Schuster Pit WR
Brack,33,"Aaron Jones GB, RB",43,Aaron Jones,219,42,RB,GB,half,22,3,14,5,7,69,20.8,7.2,22,0,Aaron Jones GB RB
Mathew,34,"Rams D/ST LAR, D/ST",2,Los Angeles Rams,118,2,D/ST,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Los Angeles Rams LAR D/ST
Britt,35,"Zach Ertz Phi, TE",18,Zach Ertz,171,22,TE,Phi,half,45,5,4,9,29,76,48.9,6.4,41,-4,Zach Ertz Phi TE
Chappy,36,"Patrick Mahomes KC, QB",24,Patrick Mahomes,345,25,QB,KC,half,24,4,1,10,4,61,26.4,8.1,18,-6,Patrick Mahomes KC QB
Jesse,37,"Joe Mixon Cin, RB",55,Joe Mixon,223,43,RB,Cin,half,10,2,8,9,4,38,11.7,6.1,9,-1,Joe Mixon Cin RB
Eric,38,"Adam Thielen Min, WR",26,Adam Thielen,191,21,WR,Min,half,31,4,11,7,15,79,33.4,10.4,31,0,Adam Thielen Min WR
Hawker,39,"AJ Brown Ten, WR",24,A.J. Brown,185,18,WR,Ten,half,36,4,15,7,16,87,40.2,10.7,35,-1,A.J. Brown Ten WR
